symbol,date,close,high,low,open,volume,adjClose,adjHigh,adjLow,adjOpen,adjVolume,divCash,splitFactor
AAPL,2016-04-20 00:00:00+00:00,107.13,108.09,106.06,106.64,30611030,24.906304047,25.1294913137,24.6575432393,24.7923855462,122444120,0.0,1.0
AAPL,2016-04-21 00:00:00+00:00,105.97,106.93,105.52,106.93,31552525,24.636619433,24.8598066997,24.5320004017,24.8598066997,126210100,0.0,1.0
AAPL,2016-04-22 00:00:00+00:00,105.68,106.48,104.62,105.01,33683121,24.5691982795,24.7551876685,24.3227623392,24.4134321663,134732484,0.0,1.0
AAPL,2016-04-25 00:00:00+00:00,105.08,105.65,104.51,105.0,28031588,24.4297062378,24.5622236774,24.2971887982,24.4111072989,112126352,0.0,1.0
AAPL,2016-04-26 00:00:00+00:00,104.35,105.3,103.91,103.91,56016165,24.2599909204,24.4808533198,24.1576967565,24.1576967565,224064660,0.0,1.0
AAPL,2016-04-27 00:00:00+00:00,97.82,98.71,95.68,96.0,114602142,22.7418525331,22.9487657283,22.2443309177,22.3187266733,458408568,0.0,1.0
AAPL,2016-04-28 00:00:00+00:00,94.83,97.88,94.25,97.61,82242690,22.046717192,22.7558017373,21.911874885,22.6930303185,328970760,0.0,1.0
AAPL,2016-04-29 00:00:00+00:00,93.74,94.72,92.51,93.99,68531478,21.7933066495,22.021143651,21.507347964,21.8514283336,274125912,0.0,1.0
AAPL,2016-05-02 00:00:00+00:00,93.64,94.08,92.4,93.965,48160104,21.7700579759,21.8723521398,21.481774423,21.8456161652,192640416,0.0,1.0
AAPL,2016-05-03 00:00:00+00:00,95.18,95.74,93.68,94.2,56831277,22.1280875496,22.2582801219,21.7793574454,21.9002505482,227325108,0.0,1.0
AAPL,2016-05-04 00:00:00+00:00,94.19,95.9,93.82,95.2,41025475,21.8979256808,22.2954779997,21.8119055884,22.1327372843,164101900,0.0,1.0
AAPL,2016-05-05 00:00:00+00:00,93.24,94.07,92.68,94.0,35890500,21.8095807211,22.0037243504,21.6785922483,21.9873507913,143562000,0.57,1.0
AAPL,2016-05-06 00:00:00+00:00,92.72,93.45,91.85,93.37,43699886,21.6879485677,21.8587013984,21.4844486189,21.8399887594,174799544,0.0,1.0
AAPL,2016-05-09 00:00:00+00:00,92.79,93.77,92.59,93.0,32936436,21.7043221268,21.9335519542,21.6575405294,21.7534428041,131745744,0.0,1.0
AAPL,2016-05-10 00:00:00+00:00,93.42,93.57,92.11,93.33,33686836,21.8516841587,21.8867703568,21.5452646956,21.8306324399,134747344,0.0,1.0
AAPL,2016-05-11 00:00:00+00:00,92.51,93.57,92.46,93.48,28719109,21.6388278904,21.8867703568,21.6271324911,21.865718638,114876436,0.0,1.0
AAPL,2016-05-12 00:00:00+00:00,90.34,92.78,89.47,92.72,76314690,21.1312475583,21.701983047,20.9277476095,21.6879485677,305258760,0.0,1.0
AAPL,2016-05-13 00:00:00+00:00,90.52,91.67,90.0,90.0,44392765,21.173350996,21.4423451812,21.0517188427,21.0517188427,177571060,0.0,1.0
AAPL,2016-05-16 00:00:00+00:00,93.88,94.39,91.65,92.39,61259756,21.9592818328,22.0785749063,21.4376670215,21.610758932,245039024,0.0,1.0
AAPL,2016-05-17 00:00:00+00:00,93.49,94.7,93.01,94.55,46916939,21.8680577178,22.1510863823,21.755781884,22.1160001842,187667756,0.0,1.0
AAPL,2016-05-18 00:00:00+00:00,94.56,95.21,93.89,94.16,42062391,22.1183392641,22.2703794557,21.9616209127,22.0247760692,168249564,0.0,1.0
AAPL,2016-05-19 00:00:00+00:00,94.2,94.64,93.57,94.64,30442100,22.0341323887,22.1370519031,21.8867703568,22.1370519031,121768400,0.0,1.0
AAPL,2016-05-20 00:00:00+00:00,95.22,95.43,94.52,94.64,32025968,22.2727185356,22.3218392129,22.1089829446,22.1370519031,128103872,0.0,1.0
AAPL,2016-05-23 00:00:00+00:00,96.43,97.19,95.67,95.87,38018643,22.5557472,22.7335172703,22.3779771298,22.4247587272,152074572,0.0,1.0
AAPL,2016-05-24 00:00:00+00:00,97.9,98.09,96.84,97.22,35140174,22.8995919411,22.9440344587,22.6516494748,22.7405345099,140560696,0.0,1.0
AAPL,2016-05-25 00:00:00+00:00,99.62,99.74,98.11,98.67,38642108,23.301913679,23.3299826375,22.9487126184,23.0797010912,154568432,0.0,1.0
AAPL,2016-05-26 00:00:00+00:00,100.41,100.73,98.64,99.68,56331159,23.4867009889,23.5615515447,23.0726838516,23.3159481582,225324636,0.0,1.0
AAPL,2016-05-27 00:00:00+00:00,100.35,100.47,99.245,99.44,36341240,23.4726665096,23.5007354681,23.2141981838,23.2598102413,145364960,0.0,1.0
AAPL,2016-05-31 00:00:00+00:00,99.86,100.4,98.82,99.6,42307212,23.3580515959,23.484361909,23.1147872893,23.2972355193,169228848,0.0,1.0
AAPL,2016-06-01 00:00:00+00:00,98.46,99.54,98.33,99.02,29173285,23.0305804139,23.28320104,23.0001723756,23.1615688867,116693140,0.0,1.0
AAPL,2016-06-02 00:00:00+00:00,97.72,97.84,96.63,97.6,40191600,22.8574885034,22.8855574619,22.6025287975,22.829419545,160766400,0.0,1.0
AAPL,2016-06-03 00:00:00+00:00,97.92,98.27,97.45,97.79,28504888,22.9042701009,22.9861378964,22.7943333469,22.8738620625,114019552,0.0,1.0
AAPL,2016-06-06 00:00:00+00:00,98.63,101.89,97.55,97.99,23292504,23.0703447717,23.8328848098,22.8177241456,22.92064366,93170016,0.0,1.0
AAPL,2016-06-07 00:00:00+00:00,99.03,99.87,98.96,99.25,22409450,23.1639079666,23.3603906758,23.1475344075,23.2153677238,89637800,0.0,1.0
AAPL,2016-06-08 00:00:00+00:00,98.94,99.56,98.68,99.02,20848131,23.1428562478,23.2878791998,23.0820401711,23.1615688867,83392524,0.0,1.0
AAPL,2016-06-09 00:00:00+00:00,99.65,99.99,98.46,98.5,26601354,23.3089309186,23.3884596343,23.0305804139,23.0399367334,106405416,0.0,1.0
AAPL,2016-06-10 00:00:00+00:00,98.83,99.3457,98.48,98.53,31712936,23.1171263692,23.2377527181,23.0352585737,23.046953973,126851744,0.0,1.0
AAPL,2016-06-13 00:00:00+00:00,97.34,99.12,97.1,98.69,38020494,22.7686034683,23.1849596854,22.7124655514,23.084379251,152081976,0.0,1.0
AAPL,2016-06-14 00:00:00+00:00,97.46,98.475,96.75,97.32,31931944,22.7966724268,23.0340890337,22.6305977559,22.7639253086,127727776,0.0,1.0
